          10245	OH
52.974000       33.354000       23.544000
54.936000       31.392000       23.544000
56.898000       33.354000       23.544000
33.354000       37.278000       23.544000
35.316000       35.316000       23.544000
37.278000       37.278000       23.544000
39.240000       35.316000       23.544000
41.202000       37.278000       23.544000
43.164000       35.316000       23.544000
45.126000       37.278000       23.544000
47.088000       35.316000       23.544000
49.050000       37.278000       23.544000
51.012000       35.316000       23.544000
52.974000       37.278000       23.544000
54.936000       35.316000       23.544000
56.898000       37.278000       23.544000
58.860000       35.316000       23.544000
60.822000       37.278000       23.544000
29.430000       41.202000       23.544000
31.392000       39.240000       23.544000
33.354000       41.202000       23.544000
35.316000       39.240000       23.544000
37.278000       41.202000       23.544000
39.240000       39.240000       23.544000
41.202000       41.202000       23.544000
43.164000       39.240000       23.544000
45.126000       41.202000       23.544000
47.088000       39.240000       23.544000
49.050000       41.202000       23.544000
51.012000       39.240000       23.544000
52.974000       41.202000       23.544000
54.936000       39.240000       23.544000
56.898000       41.202000       23.544000
58.860000       39.240000       23.544000
60.822000       41.202000       23.544000
62.784000       39.240000       23.544000
64.746000       41.202000       23.544000
25.506000       45.126000       23.544000
27.468000       43.164000       23.544000
29.430000       45.126000       23.544000
31.392000       43.164000       23.544000
33.354000       45.126000       23.544000
35.316000       43.164000       23.544000
37.278000       45.126000       23.544000
39.240000       43.164000       23.544000
41.202000       45.126000       23.544000
43.164000       43.164000       23.544000
45.126000       45.126000       23.544000
47.088000       43.164000       23.544000
49.050000       45.126000       23.544000
51.012000       43.164000       23.544000
52.974000       45.126000       23.544000
54.936000       43.164000       23.544000
56.898000       45.126000       23.544000
58.860000       43.164000       23.544000
60.822000       45.126000       23.544000
62.784000       43.164000       23.544000
64.746000       45.126000       23.544000
66.708000       43.164000       23.544000
68.670000       45.126000       23.544000
23.544000       47.088000       23.544000
25.506000       49.050000       23.544000
27.468000       47.088000       23.544000
29.430000       49.050000       23.544000
31.392000       47.088000       23.544000
33.354000       49.050000       23.544000
35.316000       47.088000       23.544000
37.278000       49.050000       23.544000
39.240000       47.088000       23.544000
41.202000       49.050000       23.544000
43.164000       47.088000       23.544000
45.126000       49.050000       23.544000
47.088000       47.088000       23.544000
49.050000       49.050000       23.544000
51.012000       47.088000       23.544000
52.974000       49.050000       23.544000
54.936000       47.088000       23.544000
56.898000       49.050000       23.544000
58.860000       47.088000       23.544000
60.822000       49.050000       23.544000
62.784000       47.088000       23.544000
64.746000       49.050000       23.544000
66.708000       47.088000       23.544000
68.670000       49.050000       23.544000
70.632000       47.088000       23.544000
27.468000       51.012000       23.544000
29.430000       52.974000       23.544000
31.392000       51.012000       23.544000
33.354000       52.974000       23.544000
35.316000       51.012000       23.544000
37.278000       52.974000       23.544000
39.240000       51.012000       23.544000
41.202000       52.974000       23.544000
43.164000       51.012000       23.544000
45.126000       52.974000       23.544000
47.088000       51.012000       23.544000
49.050000       52.974000       23.544000
51.012000       51.012000       23.544000
52.974000       52.974000       23.544000
54.936000       51.012000       23.544000
56.898000       52.974000       23.544000
58.860000       51.012000       23.544000
60.822000       52.974000       23.544000
62.784000       51.012000       23.544000
64.746000       52.974000       23.544000
66.708000       51.012000       23.544000
31.392000       54.936000       23.544000
33.354000       56.898000       23.544000
35.316000       54.936000       23.544000
37.278000       56.898000       23.544000
39.240000       54.936000       23.544000
41.202000       56.898000       23.544000
43.164000       54.936000       23.544000
45.126000       56.898000       23.544000
47.088000       54.936000       23.544000
49.050000       56.898000       23.544000
51.012000       54.936000       23.544000
52.974000       56.898000       23.544000
54.936000       54.936000       23.544000
56.898000       56.898000       23.544000
58.860000       54.936000       23.544000
60.822000       56.898000       23.544000
62.784000       54.936000       23.544000
35.316000       58.860000       23.544000
37.278000       60.822000       23.544000
39.240000       58.860000       23.544000
41.202000       60.822000       23.544000
43.164000       58.860000       23.544000
45.126000       60.822000       23.544000
47.088000       58.860000       23.544000
49.050000       60.822000       23.544000
51.012000       58.860000       23.544000
52.974000       60.822000       23.544000
54.936000       58.860000       23.544000
56.898000       60.822000       23.544000
58.860000       58.860000       23.544000
39.240000       62.784000       23.544000
41.202000       64.746000       23.544000
43.164000       62.784000       23.544000
45.126000       64.746000       23.544000
47.088000       62.784000       23.544000
49.050000       64.746000       23.544000
51.012000       62.784000       23.544000
52.974000       64.746000       23.544000
54.936000       62.784000       23.544000
43.164000       66.708000       23.544000
45.126000       68.670000       23.544000
47.088000       66.708000       23.544000
49.050000       68.670000       23.544000
51.012000       66.708000       23.544000
47.088000       70.632000       23.544000
45.126000       21.582000       27.468000
47.088000       19.620000       27.468000
49.050000       21.582000       27.468000
41.202000       25.506000       27.468000
43.164000       23.544000       27.468000
45.126000       25.506000       27.468000
47.088000       23.544000       27.468000
49.050000       25.506000       27.468000
51.012000       23.544000       27.468000
52.974000       25.506000       27.468000
37.278000       29.430000       27.468000
39.240000       27.468000       27.468000
41.202000       29.430000       27.468000
43.164000       27.468000       27.468000
45.126000       29.430000       27.468000
47.088000       27.468000       27.468000
49.050000       29.430000       27.468000
51.012000       27.468000       27.468000
52.974000       29.430000       27.468000
54.936000       27.468000       27.468000
56.898000       29.430000       27.468000
33.354000       33.354000       27.468000
35.316000       31.392000       27.468000
37.278000       33.354000       27.468000
39.240000       31.392000       27.468000
41.202000       33.354000       27.468000
43.164000       31.392000       27.468000
45.126000       33.354000       27.468000
47.088000       31.392000       27.468000
49.050000       33.354000       27.468000
51.012000       31.392000       27.468000
52.974000       33.354000       27.468000
54.936000       31.392000       27.468000
56.898000       33.354000       27.468000
58.860000       31.392000       27.468000
60.822000       33.354000       27.468000
29.430000       37.278000       27.468000
31.392000       35.316000       27.468000
33.354000       37.278000       27.468000
35.316000       35.316000       27.468000
37.278000       37.278000       27.468000
39.240000       35.316000       27.468000
41.202000       37.278000       27.468000
43.164000       35.316000       27.468000
45.126000       37.278000       27.468000
47.088000       35.316000       27.468000
49.050000       37.278000       27.468000
51.012000       35.316000       27.468000
52.974000       37.278000       27.468000
54.936000       35.316000       27.468000
56.898000       37.278000       27.468000
58.860000       35.316000       27.468000
60.822000       37.278000       27.468000
62.784000       35.316000       27.468000
64.746000       37.278000       27.468000
25.506000       41.202000       27.468000
27.468000       39.240000       27.468000
29.430000       41.202000       27.468000
31.392000       39.240000       27.468000
33.354000       41.202000       27.468000
35.316000       39.240000       27.468000
37.278000       41.202000       27.468000
39.240000       39.240000       27.468000
41.202000       41.202000       27.468000
43.164000       39.240000       27.468000
45.126000       41.202000       27.468000
47.088000       39.240000       27.468000
49.050000       41.202000       27.468000
51.012000       39.240000       27.468000
52.974000       41.202000       27.468000
54.936000       39.240000       27.468000
56.898000       41.202000       27.468000
58.860000       39.240000       27.468000
60.822000       41.202000       27.468000
62.784000       39.240000       27.468000
64.746000       41.202000       27.468000
66.708000       39.240000       27.468000
68.670000       41.202000       27.468000
21.582000       45.126000       27.468000
23.544000       43.164000       27.468000
25.506000       45.126000       27.468000
27.468000       43.164000       27.468000
29.430000       45.126000       27.468000
31.392000       43.164000       27.468000
33.354000       45.126000       27.468000
35.316000       43.164000       27.468000
37.278000       45.126000       27.468000
39.240000       43.164000       27.468000
41.202000       45.126000       27.468000
43.164000       43.164000       27.468000
45.126000       45.126000       27.468000
47.088000       43.164000       27.468000
49.050000       45.126000       27.468000
51.012000       43.164000       27.468000
52.974000       45.126000       27.468000
54.936000       43.164000       27.468000
56.898000       45.126000       27.468000
58.860000       43.164000       27.468000
60.822000       45.126000       27.468000
62.784000       43.164000       27.468000
64.746000       45.126000       27.468000
66.708000       43.164000       27.468000
68.670000       45.126000       27.468000
70.632000       43.164000       27.468000
72.594000       45.126000       27.468000
19.620000       47.088000       27.468000
21.582000       49.050000       27.468000
23.544000       47.088000       27.468000
25.506000       49.050000       27.468000
27.468000       47.088000       27.468000
29.430000       49.050000       27.468000
31.392000       47.088000       27.468000
33.354000       49.050000       27.468000
35.316000       47.088000       27.468000
37.278000       49.050000       27.468000
39.240000       47.088000       27.468000
41.202000       49.050000       27.468000
43.164000       47.088000       27.468000
45.126000       49.050000       27.468000
47.088000       47.088000       27.468000
49.050000       49.050000       27.468000
51.012000       47.088000       27.468000
52.974000       49.050000       27.468000
54.936000       47.088000       27.468000
56.898000       49.050000       27.468000
58.860000       47.088000       27.468000
60.822000       49.050000       27.468000
62.784000       47.088000       27.468000
64.746000       49.050000       27.468000
66.708000       47.088000       27.468000
68.670000       49.050000       27.468000
70.632000       47.088000       27.468000
72.594000       49.050000       27.468000
74.556000       47.088000       27.468000
23.544000       51.012000       27.468000
25.506000       52.974000       27.468000
27.468000       51.012000       27.468000
29.430000       52.974000       27.468000
31.392000       51.012000       27.468000
33.354000       52.974000       27.468000
35.316000       51.012000       27.468000
37.278000       52.974000       27.468000
39.240000       51.012000       27.468000
41.202000       52.974000       27.468000
43.164000       51.012000       27.468000
45.126000       52.974000       27.468000
47.088000       51.012000       27.468000
49.050000       52.974000       27.468000
51.012000       51.012000       27.468000
52.974000       52.974000       27.468000
54.936000       51.012000       27.468000
56.898000       52.974000       27.468000
58.860000       51.012000       27.468000
60.822000       52.974000       27.468000
62.784000       51.012000       27.468000
64.746000       52.974000       27.468000
66.708000       51.012000       27.468000
68.670000       52.974000       27.468000
70.632000       51.012000       27.468000
27.468000       54.936000       27.468000
29.430000       56.898000       27.468000
31.392000       54.936000       27.468000
33.354000       56.898000       27.468000
35.316000       54.936000       27.468000
37.278000       56.898000       27.468000
39.240000       54.936000       27.468000
41.202000       56.898000       27.468000
43.164000       54.936000       27.468000
45.126000       56.898000       27.468000
47.088000       54.936000       27.468000
49.050000       56.898000       27.468000
51.012000       54.936000       27.468000
52.974000       56.898000       27.468000
54.936000       54.936000       27.468000
56.898000       56.898000       27.468000
58.860000       54.936000       27.468000
60.822000       56.898000       27.468000
