          12479	SP
47.088000       54.936000       11.772000
49.050000       56.898000       11.772000
51.012000       54.936000       11.772000
52.974000       56.898000       11.772000
54.936000       54.936000       11.772000
31.392000       58.860000       11.772000
33.354000       60.822000       11.772000
35.316000       58.860000       11.772000
37.278000       60.822000       11.772000
39.240000       58.860000       11.772000
41.202000       60.822000       11.772000
43.164000       58.860000       11.772000
45.126000       60.822000       11.772000
47.088000       58.860000       11.772000
33.354000       13.734000       15.696000
37.278000       13.734000       15.696000
41.202000       13.734000       15.696000
45.126000       13.734000       15.696000
25.506000       17.658000       15.696000
27.468000       15.696000       15.696000
29.430000       17.658000       15.696000
31.392000       15.696000       15.696000
33.354000       17.658000       15.696000
35.316000       15.696000       15.696000
37.278000       17.658000       15.696000
39.240000       15.696000       15.696000
41.202000       17.658000       15.696000
43.164000       15.696000       15.696000
45.126000       17.658000       15.696000
47.088000       15.696000       15.696000
49.050000       17.658000       15.696000
51.012000       15.696000       15.696000
52.974000       17.658000       15.696000
21.582000       21.582000       15.696000
23.544000       19.620000       15.696000
25.506000       21.582000       15.696000
27.468000       19.620000       15.696000
29.430000       21.582000       15.696000
31.392000       19.620000       15.696000
33.354000       21.582000       15.696000
35.316000       19.620000       15.696000
37.278000       21.582000       15.696000
39.240000       19.620000       15.696000
41.202000       21.582000       15.696000
43.164000       19.620000       15.696000
45.126000       21.582000       15.696000
47.088000       19.620000       15.696000
49.050000       21.582000       15.696000
51.012000       19.620000       15.696000
52.974000       21.582000       15.696000
54.936000       19.620000       15.696000
56.898000       21.582000       15.696000
17.658000       25.506000       15.696000
19.620000       23.544000       15.696000
21.582000       25.506000       15.696000
23.544000       23.544000       15.696000
25.506000       25.506000       15.696000
27.468000       23.544000       15.696000
29.430000       25.506000       15.696000
31.392000       23.544000       15.696000
33.354000       25.506000       15.696000
35.316000       23.544000       15.696000
37.278000       25.506000       15.696000
39.240000       23.544000       15.696000
41.202000       25.506000       15.696000
43.164000       23.544000       15.696000
45.126000       25.506000       15.696000
47.088000       23.544000       15.696000
49.050000       25.506000       15.696000
51.012000       23.544000       15.696000
52.974000       25.506000       15.696000
54.936000       23.544000       15.696000
56.898000       25.506000       15.696000
58.860000       23.544000       15.696000
60.822000       25.506000       15.696000
15.696000       27.468000       15.696000
17.658000       29.430000       15.696000
19.620000       27.468000       15.696000
21.582000       29.430000       15.696000
23.544000       27.468000       15.696000
25.506000       29.430000       15.696000
27.468000       27.468000       15.696000
29.430000       29.430000       15.696000
31.392000       27.468000       15.696000
33.354000       29.430000       15.696000
35.316000       27.468000       15.696000
37.278000       29.430000       15.696000
39.240000       27.468000       15.696000
41.202000       29.430000       15.696000
43.164000       27.468000       15.696000
45.126000       29.430000       15.696000
47.088000       27.468000       15.696000
49.050000       29.430000       15.696000
51.012000       27.468000       15.696000
52.974000       29.430000       15.696000
54.936000       27.468000       15.696000
56.898000       29.430000       15.696000
58.860000       27.468000       15.696000
60.822000       29.430000       15.696000
62.784000       27.468000       15.696000
13.734000       33.354000       15.696000
15.696000       31.392000       15.696000
17.658000       33.354000       15.696000
19.620000       31.392000       15.696000
21.582000       33.354000       15.696000
23.544000       31.392000       15.696000
25.506000       33.354000       15.696000
27.468000       31.392000       15.696000
29.430000       33.354000       15.696000
31.392000       31.392000       15.696000
33.354000       33.354000       15.696000
35.316000       31.392000       15.696000
37.278000       33.354000       15.696000
39.240000       31.392000       15.696000
41.202000       33.354000       15.696000
43.164000       31.392000       15.696000
45.126000       33.354000       15.696000
47.088000       31.392000       15.696000
49.050000       33.354000       15.696000
51.012000       31.392000       15.696000
52.974000       33.354000       15.696000
54.936000       31.392000       15.696000
56.898000       33.354000       15.696000
58.860000       31.392000       15.696000
60.822000       33.354000       15.696000
62.784000       31.392000       15.696000
64.746000       33.354000       15.696000
13.734000       37.278000       15.696000
15.696000       35.316000       15.696000
17.658000       37.278000       15.696000
19.620000       35.316000       15.696000
21.582000       37.278000       15.696000
23.544000       35.316000       15.696000
25.506000       37.278000       15.696000
27.468000       35.316000       15.696000
29.430000       37.278000       15.696000
31.392000       35.316000       15.696000
33.354000       37.278000       15.696000
35.316000       35.316000       15.696000
37.278000       37.278000       15.696000
39.240000       35.316000       15.696000
41.202000       37.278000       15.696000
43.164000       35.316000       15.696000
45.126000       37.278000       15.696000
47.088000       35.316000       15.696000
49.050000       37.278000       15.696000
51.012000       35.316000       15.696000
52.974000       37.278000       15.696000
54.936000       35.316000       15.696000
56.898000       37.278000       15.696000
58.860000       35.316000       15.696000
60.822000       37.278000       15.696000
62.784000       35.316000       15.696000
64.746000       37.278000       15.696000
13.734000       41.202000       15.696000
15.696000       39.240000       15.696000
17.658000       41.202000       15.696000
19.620000       39.240000       15.696000
21.582000       41.202000       15.696000
23.544000       39.240000       15.696000
25.506000       41.202000       15.696000
27.468000       39.240000       15.696000
29.430000       41.202000       15.696000
31.392000       39.240000       15.696000
33.354000       41.202000       15.696000
35.316000       39.240000       15.696000
37.278000       41.202000       15.696000
39.240000       39.240000       15.696000
41.202000       41.202000       15.696000
43.164000       39.240000       15.696000
45.126000       41.202000       15.696000
47.088000       39.240000       15.696000
49.050000       41.202000       15.696000
51.012000       39.240000       15.696000
52.974000       41.202000       15.696000
54.936000       39.240000       15.696000
56.898000       41.202000       15.696000
58.860000       39.240000       15.696000
60.822000       41.202000       15.696000
62.784000       39.240000       15.696000
64.746000       41.202000       15.696000
13.734000       45.126000       15.696000
15.696000       43.164000       15.696000
17.658000       45.126000       15.696000
19.620000       43.164000       15.696000
21.582000       45.126000       15.696000
23.544000       43.164000       15.696000
25.506000       45.126000       15.696000
27.468000       43.164000       15.696000
29.430000       45.126000       15.696000
31.392000       43.164000       15.696000
33.354000       45.126000       15.696000
35.316000       43.164000       15.696000
37.278000       45.126000       15.696000
39.240000       43.164000       15.696000
41.202000       45.126000       15.696000
43.164000       43.164000       15.696000
45.126000       45.126000       15.696000
47.088000       43.164000       15.696000
49.050000       45.126000       15.696000
51.012000       43.164000       15.696000
52.974000       45.126000       15.696000
54.936000       43.164000       15.696000
56.898000       45.126000       15.696000
58.860000       43.164000       15.696000
60.822000       45.126000       15.696000
62.784000       43.164000       15.696000
64.746000       45.126000       15.696000
15.696000       47.088000       15.696000
17.658000       49.050000       15.696000
19.620000       47.088000       15.696000
21.582000       49.050000       15.696000
23.544000       47.088000       15.696000
25.506000       49.050000       15.696000
27.468000       47.088000       15.696000
29.430000       49.050000       15.696000
31.392000       47.088000       15.696000
33.354000       49.050000       15.696000
35.316000       47.088000       15.696000
37.278000       49.050000       15.696000
39.240000       47.088000       15.696000
41.202000       49.050000       15.696000
43.164000       47.088000       15.696000
45.126000       49.050000       15.696000
47.088000       47.088000       15.696000
49.050000       49.050000       15.696000
51.012000       47.088000       15.696000
52.974000       49.050000       15.696000
54.936000       47.088000       15.696000
56.898000       49.050000       15.696000
58.860000       47.088000       15.696000
60.822000       49.050000       15.696000
62.784000       47.088000       15.696000
15.696000       51.012000       15.696000
17.658000       52.974000       15.696000
19.620000       51.012000       15.696000
21.582000       52.974000       15.696000
23.544000       51.012000       15.696000
25.506000       52.974000       15.696000
27.468000       51.012000       15.696000
29.430000       52.974000       15.696000
31.392000       51.012000       15.696000
33.354000       52.974000       15.696000
35.316000       51.012000       15.696000
37.278000       52.974000       15.696000
39.240000       51.012000       15.696000
41.202000       52.974000       15.696000
43.164000       51.012000       15.696000
45.126000       52.974000       15.696000
47.088000       51.012000       15.696000
49.050000       52.974000       15.696000
51.012000       51.012000       15.696000
52.974000       52.974000       15.696000
54.936000       51.012000       15.696000
56.898000       52.974000       15.696000
58.860000       51.012000       15.696000
60.822000       52.974000       15.696000
62.784000       51.012000       15.696000
19.620000       54.936000       15.696000
21.582000       56.898000       15.696000
23.544000       54.936000       15.696000
25.506000       56.898000       15.696000
27.468000       54.936000       15.696000
29.430000       56.898000       15.696000
31.392000       54.936000       15.696000
33.354000       56.898000       15.696000
35.316000       54.936000       15.696000
37.278000       56.898000       15.696000
39.240000       54.936000       15.696000
41.202000       56.898000       15.696000
43.164000       54.936000       15.696000
45.126000       56.898000       15.696000
47.088000       54.936000       15.696000
49.050000       56.898000       15.696000
51.012000       54.936000       15.696000
52.974000       56.898000       15.696000
54.936000       54.936000       15.696000
56.898000       56.898000       15.696000
58.860000       54.936000       15.696000
23.544000       58.860000       15.696000
25.506000       60.822000       15.696000
27.468000       58.860000       15.696000
29.430000       60.822000       15.696000
31.392000       58.860000       15.696000
33.354000       60.822000       15.696000
35.316000       58.860000       15.696000
37.278000       60.822000       15.696000
39.240000       58.860000       15.696000
41.202000       60.822000       15.696000
43.164000       58.860000       15.696000
45.126000       60.822000       15.696000
47.088000       58.860000       15.696000
49.050000       60.822000       15.696000
51.012000       58.860000       15.696000
52.974000       60.822000       15.696000
54.936000       58.860000       15.696000
27.468000       62.784000       15.696000
31.392000       62.784000       15.696000
33.354000       64.746000       15.696000
35.316000       62.784000       15.696000
37.278000       64.746000       15.696000
39.240000       62.784000       15.696000
41.202000       64.746000       15.696000
43.164000       62.784000       15.696000
45.126000       64.746000       15.696000
47.088000       62.784000       15.696000
51.012000       62.784000       15.696000
37.278000        9.810000       19.620000
41.202000        9.810000       19.620000
25.506000       13.734000       19.620000
29.430000       13.734000       19.620000
31.392000       11.772000       19.620000
33.354000       13.734000       19.620000
35.316000       11.772000       19.620000
37.278000       13.734000       19.620000
39.240000       11.772000       19.620000
41.202000       13.734000       19.620000
43.164000       11.772000       19.620000
45.126000       13.734000       19.620000
47.088000       11.772000       19.620000
49.050000       13.734000       19.620000
52.974000       13.734000       19.620000
21.582000       17.658000       19.620000
23.544000       15.696000       19.620000
25.506000       17.658000       19.620000
27.468000       15.696000       19.620000
29.430000       17.658000       19.620000
31.392000       15.696000       19.620000
33.354000       17.658000       19.620000
35.316000       15.696000       19.620000
37.278000       17.658000       19.620000
39.240000       15.696000       19.620000
41.202000       17.658000       19.620000
43.164000       15.696000       19.620000
45.126000       17.658000       19.620000
47.088000       15.696000       19.620000
49.050000       17.658000       19.620000
51.012000       15.696000       19.620000
52.974000       17.658000       19.620000
54.936000       15.696000       19.620000
56.898000       17.658000       19.620000
17.658000       21.582000       19.620000
19.620000       19.620000       19.620000
21.582000       21.582000       19.620000
23.544000       19.620000       19.620000
25.506000       21.582000       19.620000
27.468000       19.620000       19.620000
29.430000       21.582000       19.620000
31.392000       19.620000       19.620000
33.354000       21.582000       19.620000
35.316000       19.620000       19.620000
37.278000       21.582000       19.620000
39.240000       19.620000       19.620000
41.202000       21.582000       19.620000
43.164000       19.620000       19.620000
45.126000       21.582000       19.620000
47.088000       19.620000       19.620000
49.050000       21.582000       19.620000
51.012000       19.620000       19.620000
52.974000       21.582000       19.620000
54.936000       19.620000       19.620000
56.898000       21.582000       19.620000
58.860000       19.620000       19.620000
60.822000       21.582000       19.620000
13.734000       25.506000       19.620000
15.696000       23.544000       19.620000
17.658000       25.506000       19.620000
19.620000       23.544000       19.620000
21.582000       25.506000       19.620000
23.544000       23.544000       19.620000
25.506000       25.506000       19.620000
27.468000       23.544000       19.620000
29.430000       25.506000       19.620000
31.392000       23.544000       19.620000
33.354000       25.506000       19.620000
35.316000       23.544000       19.620000
37.278000       25.506000       19.620000
39.240000       23.544000       19.620000
41.202000       25.506000       19.620000
43.164000       23.544000       19.620000
45.126000       25.506000       19.620000
47.088000       23.544000       19.620000
49.050000       25.506000       19.620000
51.012000       23.544000       19.620000
52.974000       25.506000       19.620000
54.936000       23.544000       19.620000
56.898000       25.506000       19.620000
58.860000       23.544000       19.620000
60.822000       25.506000       19.620000
62.784000       23.544000       19.620000
64.746000       25.506000       19.620000
13.734000       29.430000       19.620000
15.696000       27.468000       19.620000
17.658000       29.430000       19.620000
19.620000       27.468000       19.620000
21.582000       29.430000       19.620000
23.544000       27.468000       19.620000
25.506000       29.430000       19.620000
27.468000       27.468000       19.620000
29.430000       29.430000       19.620000
31.392000       27.468000       19.620000
33.354000       29.430000       19.620000
35.316000       27.468000       19.620000
37.278000       29.430000       19.620000
39.240000       27.468000       19.620000
41.202000       29.430000       19.620000
43.164000       27.468000       19.620000
45.126000       29.430000       19.620000
47.088000       27.468000       19.620000
49.050000       29.430000       19.620000
51.012000       27.468000       19.620000
52.974000       29.430000       19.620000
54.936000       27.468000       19.620000
56.898000       29.430000       19.620000
58.860000       27.468000       19.620000
60.822000       29.430000       19.620000
62.784000       27.468000       19.620000
64.746000       29.430000       19.620000
11.772000       31.392000       19.620000
13.734000       33.354000       19.620000
15.696000       31.392000       19.620000
17.658000       33.354000       19.620000
19.620000       31.392000       19.620000
21.582000       33.354000       19.620000
23.544000       31.392000       19.620000
25.506000       33.354000       19.620000
27.468000       31.392000       19.620000
29.430000       33.354000       19.620000
31.392000       31.392000       19.620000
33.354000       33.354000       19.620000
35.316000       31.392000       19.620000
37.278000       33.354000       19.620000
39.240000       31.392000       19.620000
41.202000       33.354000       19.620000
43.164000       31.392000       19.620000
45.126000       33.354000       19.620000
47.088000       31.392000       19.620000
49.050000       33.354000       19.620000
51.012000       31.392000       19.620000
52.974000       33.354000       19.620000
54.936000       31.392000       19.620000
56.898000       33.354000       19.620000
58.860000       31.392000       19.620000
60.822000       33.354000       19.620000
62.784000       31.392000       19.620000
64.746000       33.354000       19.620000
66.708000       31.392000       19.620000
 9.810000       37.278000       19.620000
11.772000       35.316000       19.620000
13.734000       37.278000       19.620000
15.696000       35.316000       19.620000
17.658000       37.278000       19.620000
19.620000       35.316000       19.620000
21.582000       37.278000       19.620000
23.544000       35.316000       19.620000
25.506000       37.278000       19.620000
27.468000       35.316000       19.620000
29.430000       37.278000       19.620000
31.392000       35.316000       19.620000
33.354000       37.278000       19.620000
35.316000       35.316000       19.620000
37.278000       37.278000       19.620000
39.240000       35.316000       19.620000
41.202000       37.278000       19.620000
43.164000       35.316000       19.620000
45.126000       37.278000       19.620000
47.088000       35.316000       19.620000
49.050000       37.278000       19.620000
51.012000       35.316000       19.620000
52.974000       37.278000       19.620000
54.936000       35.316000       19.620000
56.898000       37.278000       19.620000
58.860000       35.316000       19.620000
60.822000       37.278000       19.620000
62.784000       35.316000       19.620000
64.746000       37.278000       19.620000
66.708000       35.316000       19.620000
68.670000       37.278000       19.620000
 9.810000       41.202000       19.620000
11.772000       39.240000       19.620000
13.734000       41.202000       19.620000
15.696000       39.240000       19.620000
17.658000       41.202000       19.620000
19.620000       39.240000       19.620000
21.582000       41.202000       19.620000
23.544000       39.240000       19.620000
25.506000       41.202000       19.620000
27.468000       39.240000       19.620000
29.430000       41.202000       19.620000
31.392000       39.240000       19.620000
33.354000       41.202000       19.620000
35.316000       39.240000       19.620000
37.278000       41.202000       19.620000
39.240000       39.240000       19.620000
41.202000       41.202000       19.620000
43.164000       39.240000       19.620000
45.126000       41.202000       19.620000
47.088000       39.240000       19.620000
49.050000       41.202000       19.620000
51.012000       39.240000       19.620000
52.974000       41.202000       19.620000
54.936000       39.240000       19.620000
56.898000       41.202000       19.620000
58.860000       39.240000       19.620000
60.822000       41.202000       19.620000
62.784000       39.240000       19.620000
64.746000       41.202000       19.620000
66.708000       39.240000       19.620000
68.670000       41.202000       19.620000
11.772000       43.164000       19.620000
13.734000       45.126000       19.620000
15.696000       43.164000       19.620000
17.658000       45.126000       19.620000
19.620000       43.164000       19.620000
21.582000       45.126000       19.620000
23.544000       43.164000       19.620000
25.506000       45.126000       19.620000
27.468000       43.164000       19.620000
29.430000       45.126000       19.620000
31.392000       43.164000       19.620000
33.354000       45.126000       19.620000
35.316000       43.164000       19.620000
37.278000       45.126000       19.620000
39.240000       43.164000       19.620000
41.202000       45.126000       19.620000
43.164000       43.164000       19.620000
45.126000       45.126000       19.620000
47.088000       43.164000       19.620000
49.050000       45.126000       19.620000
51.012000       43.164000       19.620000
52.974000       45.126000       19.620000
54.936000       43.164000       19.620000
56.898000       45.126000       19.620000
58.860000       43.164000       19.620000
60.822000       45.126000       19.620000
62.784000       43.164000       19.620000
64.746000       45.126000       19.620000
66.708000       43.164000       19.620000
11.772000       47.088000       19.620000
13.734000       49.050000       19.620000
15.696000       47.088000       19.620000
17.658000       49.050000       19.620000
19.620000       47.088000       19.620000
21.582000       49.050000       19.620000
23.544000       47.088000       19.620000
25.506000       49.050000       19.620000
27.468000       47.088000       19.620000
29.430000       49.050000       19.620000
31.392000       47.088000       19.620000
33.354000       49.050000       19.620000
35.316000       47.088000       19.620000
37.278000       49.050000       19.620000
39.240000       47.088000       19.620000
41.202000       49.050000       19.620000
43.164000       47.088000       19.620000
45.126000       49.050000       19.620000
47.088000       47.088000       19.620000
49.050000       49.050000       19.620000
51.012000       47.088000       19.620000
52.974000       49.050000       19.620000
54.936000       47.088000       19.620000
56.898000       49.050000       19.620000
58.860000       47.088000       19.620000
60.822000       49.050000       19.620000
62.784000       47.088000       19.620000
64.746000       49.050000       19.620000
66.708000       47.088000       19.620000
13.734000       52.974000       19.620000
15.696000       51.012000       19.620000
17.658000       52.974000       19.620000
19.620000       51.012000       19.620000
21.582000       52.974000       19.620000
23.544000       51.012000       19.620000
25.506000       52.974000       19.620000
27.468000       51.012000       19.620000
29.430000       52.974000       19.620000
31.392000       51.012000       19.620000
33.354000       52.974000       19.620000
35.316000       51.012000       19.620000
37.278000       52.974000       19.620000
39.240000       51.012000       19.620000
41.202000       52.974000       19.620000
43.164000       51.012000       19.620000
45.126000       52.974000       19.620000
47.088000       51.012000       19.620000
49.050000       52.974000       19.620000
51.012000       51.012000       19.620000
52.974000       52.974000       19.620000
54.936000       51.012000       19.620000
56.898000       52.974000       19.620000
58.860000       51.012000       19.620000
60.822000       52.974000       19.620000
62.784000       51.012000       19.620000
64.746000       52.974000       19.620000
15.696000       54.936000       19.620000
17.658000       56.898000       19.620000
19.620000       54.936000       19.620000
21.582000       56.898000       19.620000
23.544000       54.936000       19.620000
25.506000       56.898000       19.620000
27.468000       54.936000       19.620000
29.430000       56.898000       19.620000
31.392000       54.936000       19.620000
33.354000       56.898000       19.620000
35.316000       54.936000       19.620000
37.278000       56.898000       19.620000
39.240000       54.936000       19.620000
41.202000       56.898000       19.620000
43.164000       54.936000       19.620000
45.126000       56.898000       19.620000
47.088000       54.936000       19.620000
49.050000       56.898000       19.620000
51.012000       54.936000       19.620000
52.974000       56.898000       19.620000
54.936000       54.936000       19.620000
56.898000       56.898000       19.620000
58.860000       54.936000       19.620000
60.822000       56.898000       19.620000
