        7720	DH
 59.897364      60.788455      97.772283
 62.264881      61.557708      96.335054
 62.264881      64.047063      97.772283
 64.632399      64.816316      96.335054
 64.632399      67.305671      97.772283
 66.999916      68.074924      96.335054
 66.999916      70.564280      97.772283
 69.367434      71.333533      96.335054
 69.367434      73.822888      97.772283
 71.734951      74.592141      96.335054
 71.734951      77.081496      97.772283
 74.102469      77.850749      96.335054
 64.632399      62.326961      94.897824
 66.999916      63.096214      93.460594
 66.999916      65.585569      94.897824
 69.367434      66.354822      93.460594
 69.367434      68.844177      94.897824
 71.734951      69.613430      93.460594
 71.734951      72.102786      94.897824
 74.102469      72.872039      93.460594
 74.102469      75.361394      94.897824
 76.469986      76.130647      93.460594
 76.469986      78.620002      94.897824
 78.837504      79.389255      93.460594
 69.367434      63.865467      92.023364
 71.734951      64.634720      90.586134
 71.734951      67.124075      92.023364
 74.102469      67.893328      90.586134
 74.102469      70.382683      92.023364
 76.469986      71.151937      90.586134
 76.469986      73.641292      92.023364
 78.837504      74.410545      90.586134
 78.837504      76.899900      92.023364
 81.205021      77.669153      90.586134
 81.205021      80.158508      92.023364
 83.572539      80.927761      90.586134
 74.102469      65.403973      89.148904
 76.469986      66.173226      87.711674
 76.469986      68.662581      89.148904
 78.837504      69.431834      87.711674
 78.837504      71.921190      89.148904
 81.205021      72.690443      87.711674
 81.205021      75.179798      89.148904
 83.572539      75.949051      87.711674
 83.572539      78.438406      89.148904
 85.940056      79.207659      87.711674
 85.940056      81.697014      89.148904
 88.307574      82.466267      87.711674
 78.837504      66.942479      86.274444
 81.205021      67.711732      84.837214
 81.205021      70.201087      86.274444
 83.572539      70.970341      84.837214
 83.572539      73.459696      86.274444
 85.940056      74.228949      84.837214
 85.940056      76.718304      86.274444
 88.307574      77.487557      84.837214
 88.307574      79.976912      86.274444
 90.675091      80.746165      84.837214
 90.675091      83.235520      86.274444
 83.572539      68.480985      83.399985
 85.940056      69.250238      81.962755
 85.940056      71.739594      83.399985
 88.307574      72.508847      81.962755
 88.307574      74.998202      83.399985
 90.675091      75.767455      81.962755
 90.675091      78.256810      83.399985
 88.307574      70.019491      80.525525
 90.675091      70.788745      79.088295
 90.675091      73.278100      80.525525
 59.897364      78.213941     102.083973
 59.897364      73.235231      99.209513
 59.897364      75.724586     100.646743
 62.264881      76.493839      99.209513
 62.264881      78.983194     100.646743
 64.632399      79.752447      99.209513
 59.897364      68.256520      96.335054
 59.897364      70.745876      97.772283
 62.264881      71.515129      96.335054
 62.264881      74.004484      97.772283
 64.632399      74.773737      96.335054
 64.632399      77.263092      97.772283
 66.999916      78.032345      96.335054
 66.999916      80.521700      97.772283
 69.367434      81.290953      96.335054
 59.897364      63.277810      93.460594
 59.897364      65.767165      94.897824
 62.264881      66.536418      93.460594
 62.264881      69.025773      94.897824
 64.632399      69.795026      93.460594
 64.632399      72.284382      94.897824
 66.999916      73.053635      93.460594
 66.999916      75.542990      94.897824
 69.367434      76.312243      93.460594
 69.367434      78.801598      94.897824
 71.734951      79.570851      93.460594
 71.734951      82.060206      94.897824
 74.102469      82.829459      93.460594
 59.897364      60.788455      92.023364
 62.264881      61.557708      90.586134
 62.264881      64.047063      92.023364
 64.632399      64.816316      90.586134
 64.632399      67.305671      92.023364
 66.999916      68.074924      90.586134
 66.999916      70.564280      92.023364
 69.367434      71.333533      90.586134
 69.367434      73.822888      92.023364
 71.734951      74.592141      90.586134
 71.734951      77.081496      92.023364
 74.102469      77.850749      90.586134
 74.102469      80.340104      92.023364
 76.469986      81.109357      90.586134
 76.469986      83.598712      92.023364
 78.837504      84.367966      90.586134
 64.632399      62.326961      89.148904
 66.999916      63.096214      87.711674
 66.999916      65.585569      89.148904
 69.367434      66.354822      87.711674
 69.367434      68.844177      89.148904
 71.734951      69.613430      87.711674
 71.734951      72.102786      89.148904
 74.102469      72.872039      87.711674
 74.102469      75.361394      89.148904
 76.469986      76.130647      87.711674
 76.469986      78.620002      89.148904
 78.837504      79.389255      87.711674
 78.837504      81.878610      89.148904
 81.205021      82.647863      87.711674
 81.205021      85.137219      89.148904
 83.572539      85.906472      87.711674
 69.367434      63.865467      86.274444
 71.734951      64.634720      84.837214
 71.734951      67.124075      86.274444
 74.102469      67.893328      84.837214
 74.102469      70.382683      86.274444
 76.469986      71.151937      84.837214
 76.469986      73.641292      86.274444
