       13024	DH
 90.335343      88.397739     115.019042
 92.702860      89.166992     113.581812
 92.702860      91.656347     115.019042
 95.070378      92.425600     113.581812
 85.600308      76.901812     112.144582
 87.967825      77.671065     110.707352
 87.967825      80.160420     112.144582
 90.335343      80.929674     110.707352
 90.335343      83.419029     112.144582
 92.702860      84.188282     110.707352
 92.702860      86.677637     112.144582
 95.070378      87.446890     110.707352
 95.070378      89.936245     112.144582
 97.437895      90.705498     110.707352
 97.437895      93.194853     112.144582
 99.805413      93.964107     110.707352
 90.335343      78.440318     109.270122
 92.702860      79.209571     107.832893
 92.702860      81.698927     109.270122
 95.070378      82.468180     107.832893
 95.070378      84.957535     109.270122
 97.437895      85.726788     107.832893
 97.437895      88.216143     109.270122
 99.805413      88.985396     107.832893
 99.805413      91.474751     109.270122
102.172930      92.244004     107.832893
102.172930      94.733360     109.270122
104.540448      95.502613     107.832893
 95.070378      79.978824     106.395663
 97.437895      80.748078     104.958433
 97.437895      83.237433     106.395663
