        4096	DH
53.134560      70.743963      66.153226
55.502077      71.513216      64.715996
55.502077      74.002572      66.153226
48.399525      56.758681      61.841536
48.399525      59.248036      63.278766
50.767042      60.017289      61.841536
50.767042      62.506645      63.278766
53.134560      63.275898      61.841536
53.134560      65.765253      63.278766
55.502077      66.534506      61.841536
55.502077      69.023861      63.278766
48.399525      51.779971      58.967076
48.399525      54.269326      60.404306
50.767042      55.038579      58.967076
50.767042      57.527934      60.404306
53.134560      58.297187      58.967076
53.134560      60.786543      60.404306
55.502077      61.555796      58.967076
55.502077      64.045151      60.404306
48.399525      49.290616      57.529847
50.767042      50.059869      56.092617
50.767042      52.549224      57.529847
53.134560      53.318477      56.092617
53.134560      55.807832      57.529847
55.502077      56.577085      56.092617
55.502077      59.066440      57.529847
53.134560      50.829122      54.655387
55.502077      51.598375      53.218157
55.502077      54.087730      54.655387
48.399525      81.652233      70.464916
48.399525      76.673523      67.590456
48.399525      79.162878      69.027686
50.767042      79.932131      67.590456
50.767042      82.421486      69.027686
48.399525      71.694812      64.715996
48.399525      74.184168      66.153226
50.767042      74.953421      64.715996
50.767042      77.442776      66.153226
48.399525      66.716102      61.841536
48.399525      69.205457      63.278766
50.767042      69.974710      61.841536
50.767042      72.464065      63.278766
48.399525      61.737392      58.967076
48.399525      64.226747      60.404306
50.767042      64.996000      58.967076
50.767042      67.485355      60.404306
48.399525      56.758681      56.092617
48.399525      59.248036      57.529847
50.767042      60.017289      56.092617
50.767042      62.506645      57.529847
48.399525      51.779971      53.218157
48.399525      54.269326      54.655387
50.767042      55.038579      53.218157
50.767042      57.527934      54.655387
48.399525      49.290616      51.780927
50.767042      50.059869      50.343697
50.767042      52.549224      51.780927
48.399525      49.290616      89.148904
50.767042      50.059869      87.711674
53.134560      50.829122      86.274444
55.502077      51.598375      84.837214
57.869595      52.367628      83.399985
60.237112      53.136881      81.962755
62.604630      53.906134      80.525525
64.972147      54.675387      79.088295
67.339665      55.444640      77.651065
69.707182      56.213893      76.213835
72.074700      56.983146      74.776605
74.442217      57.752399      73.339375
76.809735      58.521652      71.902145
79.177252      59.290905      70.464916
81.544770      60.060158      69.027686
48.399525      54.269326      86.274444
48.399525      49.290616      83.399985
48.399525      51.779971      84.837214
50.767042      52.549224      83.399985
50.767042      55.038579      84.837214
53.134560      55.807832      83.399985
50.767042      50.059869      81.962755
53.134560      50.829122      80.525525
53.134560      53.318477      81.962755
55.502077      54.087730      80.525525
55.502077      56.577085      81.962755
57.869595      57.346338      80.525525
55.502077      51.598375      79.088295
57.869595      52.367628      77.651065
57.869595      54.856983      79.088295
60.237112      55.626236      77.651065
60.237112      58.115591      79.088295
62.604630      58.884844      77.651065
60.237112      53.136881      76.213835
62.604630      53.906134      74.776605
62.604630      56.395489      76.213835
64.972147      57.164742      74.776605
64.972147      59.654097      76.213835
67.339665      60.423350      74.776605
64.972147      54.675387      73.339375
67.339665      55.444640      71.902145
67.339665      57.933995      73.339375
69.707182      58.703248      71.902145
69.707182      61.192604      73.339375
72.074700      61.961857      71.902145
69.707182      56.213893      70.464916
72.074700      56.983146      69.027686
72.074700      59.472501      70.464916
74.442217      60.241754      69.027686
74.442217      62.731110      70.464916
76.809735      63.500363      69.027686
74.442217      57.752399      67.590456
76.809735      58.521652      66.153226
76.809735      61.011008      67.590456
48.399525      59.248036      83.399985
48.399525      54.269326      80.525525
48.399525      56.758681      81.962755
50.767042      57.527934      80.525525
50.767042      60.017289      81.962755
53.134560      60.786543      80.525525
48.399525      49.290616      77.651065
48.399525      51.779971      79.088295
50.767042      52.549224      77.651065
50.767042      55.038579      79.088295
53.134560      55.807832      77.651065
53.134560      58.297187      79.088295
55.502077      59.066440      77.651065
55.502077      61.555796      79.088295
57.869595      62.325049      77.651065
50.767042      50.059869      76.213835
53.134560      50.829122      74.776605
53.134560      53.318477      76.213835
55.502077      54.087730      74.776605
55.502077      56.577085      76.213835
57.869595      57.346338      74.776605
57.869595      59.835693      76.213835
60.237112      60.604947      74.776605
60.237112      63.094302      76.213835
62.604630      63.863555      74.776605
55.502077      51.598375      73.339375
57.869595      52.367628      71.902145
57.869595      54.856983      73.339375
60.237112      55.626236      71.902145
60.237112      58.115591      73.339375
62.604630      58.884844      71.902145
62.604630      61.374200      73.339375
64.972147      62.143453      71.902145
64.972147      64.632808      73.339375
67.339665      65.402061      71.902145
60.237112      53.136881      70.464916
62.604630      53.906134      69.027686
62.604630      56.395489      70.464916
64.972147      57.164742      69.027686
64.972147      59.654097      70.464916
67.339665      60.423350      69.027686
67.339665      62.912706      70.464916
69.707182      63.681959      69.027686
69.707182      66.171314      70.464916
72.074700      66.940567      69.027686
64.972147      54.675387      67.590456
67.339665      55.444640      66.153226
67.339665      57.933995      67.590456
69.707182      58.703248      66.153226
69.707182      61.192604      67.590456
72.074700      61.961857      66.153226
72.074700      64.451212      67.590456
69.707182      56.213893      64.715996
72.074700      56.983146      63.278766
72.074700      59.472501      64.715996
48.399525      64.226747      80.525525
48.399525      59.248036      77.651065
48.399525      61.737392      79.088295
50.767042      62.506645      77.651065
50.767042      64.996000      79.088295
53.134560      65.765253      77.651065
48.399525      54.269326      74.776605
48.399525      56.758681      76.213835
50.767042      57.527934      74.776605
50.767042      60.017289      76.213835
53.134560      60.786543      74.776605
53.134560      63.275898      76.213835
55.502077      64.045151      74.776605
55.502077      66.534506      76.213835
57.869595      67.303759      74.776605
48.399525      49.290616      71.902145
48.399525      51.779971      73.339375
50.767042      52.549224      71.902145
50.767042      55.038579      73.339375
53.134560      55.807832      71.902145
53.134560      58.297187      73.339375
55.502077      59.066440      71.902145
55.502077      61.555796      73.339375
57.869595      62.325049      71.902145
57.869595      64.814404      73.339375
60.237112      65.583657      71.902145
60.237112      68.073012      73.339375
62.604630      68.842265      71.902145
50.767042      50.059869      70.464916
53.134560      50.829122      69.027686
53.134560      53.318477      70.464916
55.502077      54.087730      69.027686
55.502077      56.577085      70.464916
57.869595      57.346338      69.027686
57.869595      59.835693      70.464916
60.237112      60.604947      69.027686
60.237112      63.094302      70.464916
62.604630      63.863555      69.027686
62.604630      66.352910      70.464916
64.972147      67.122163      69.027686
64.972147      69.611518      70.464916
67.339665      70.380771      69.027686
55.502077      51.598375      67.590456
57.869595      52.367628      66.153226
57.869595      54.856983      67.590456
60.237112      55.626236      66.153226
60.237112      58.115591      67.590456
62.604630      58.884844      66.153226
62.604630      61.374200      67.590456
64.972147      62.143453      66.153226
64.972147      64.632808      67.590456
67.339665      65.402061      66.153226
67.339665      67.891416      67.590456
60.237112      53.136881      64.715996
62.604630      53.906134      63.278766
62.604630      56.395489      64.715996
64.972147      57.164742      63.278766
64.972147      59.654097      64.715996
67.339665      60.423350      63.278766
67.339665      62.912706      64.715996
64.972147      54.675387      61.841536
67.339665      55.444640      60.404306
67.339665      57.933995      61.841536
48.399525      69.205457      77.651065
48.399525      64.226747      74.776605
48.399525      66.716102      76.213835
50.767042      67.485355      74.776605
50.767042      69.974710      76.213835
53.134560      70.743963      74.776605
48.399525      59.248036      71.902145
48.399525      61.737392      73.339375
50.767042      62.506645      71.902145
50.767042      64.996000      73.339375
53.134560      65.765253      71.902145
53.134560      68.254608      73.339375
55.502077      69.023861      71.902145
55.502077      71.513216      73.339375
57.869595      72.282469      71.902145
48.399525      54.269326      69.027686
48.399525      56.758681      70.464916
50.767042      57.527934      69.027686
50.767042      60.017289      70.464916
53.134560      60.786543      69.027686
53.134560      63.275898      70.464916
55.502077      64.045151      69.027686
55.502077      66.534506      70.464916
57.869595      67.303759      69.027686
57.869595      69.793114      70.464916
60.237112      70.562367      69.027686
60.237112      73.051722      70.464916
62.604630      73.820976      69.027686
48.399525      49.290616      66.153226
48.399525      51.779971      67.590456
50.767042      52.549224      66.153226
50.767042      55.038579      67.590456
53.134560      55.807832      66.153226
53.134560      58.297187      67.590456
55.502077      59.066440      66.153226
55.502077      61.555796      67.590456
57.869595      62.325049      66.153226
57.869595      64.814404      67.590456
60.237112      65.583657      66.153226
60.237112      68.073012      67.590456
62.604630      68.842265      66.153226
62.604630      71.331620      67.590456
50.767042      50.059869      64.715996
53.134560      50.829122      63.278766
53.134560      53.318477      64.715996
55.502077      54.087730      63.278766
55.502077      56.577085      64.715996
57.869595      57.346338      63.278766
57.869595      59.835693      64.715996
60.237112      60.604947      63.278766
