          8621	RD
49.089240       60.861240       27.507240
51.051240       58.899240       27.507240
53.013240       60.861240       27.507240
54.975240       58.899240       27.507240
56.937240       60.861240       27.507240
58.899240       58.899240       27.507240
60.861240       60.861240       27.507240
62.823240       58.899240       27.507240
64.785240       60.861240       27.507240
66.747240       58.899240       27.507240
23.583240       62.823240       27.507240
25.545240       64.785240       27.507240
27.507240       62.823240       27.507240
29.469240       64.785240       27.507240
31.431240       62.823240       27.507240
33.393240       64.785240       27.507240
35.355240       62.823240       27.507240
37.317240       64.785240       27.507240
39.279240       62.823240       27.507240
41.241240       64.785240       27.507240
43.203240       62.823240       27.507240
45.165240       64.785240       27.507240
47.127240       62.823240       27.507240
49.089240       64.785240       27.507240
51.051240       62.823240       27.507240
53.013240       64.785240       27.507240
54.975240       62.823240       27.507240
56.937240       64.785240       27.507240
58.899240       62.823240       27.507240
60.861240       64.785240       27.507240
62.823240       62.823240       27.507240
27.507240       66.747240       27.507240
31.431240       66.747240       27.507240
35.355240       66.747240       27.507240
39.279240       66.747240       27.507240
43.203240       66.747240       27.507240
47.127240       66.747240       27.507240
51.051240       66.747240       27.507240
54.975240       66.747240       27.507240
58.899240       66.747240       27.507240
29.469240       17.697240       31.431240
31.431240       15.735240       31.431240
33.393240       17.697240       31.431240
35.355240       15.735240       31.431240
37.317240       17.697240       31.431240
39.279240       15.735240       31.431240
41.241240       17.697240       31.431240
43.203240       15.735240       31.431240
45.165240       17.697240       31.431240
47.127240       15.735240       31.431240
49.089240       17.697240       31.431240
51.051240       15.735240       31.431240
53.013240       17.697240       31.431240
54.975240       15.735240       31.431240
56.937240       17.697240       31.431240
25.545240       21.621240       31.431240
27.507240       19.659240       31.431240
29.469240       21.621240       31.431240
31.431240       19.659240       31.431240
33.393240       21.621240       31.431240
35.355240       19.659240       31.431240
37.317240       21.621240       31.431240
39.279240       19.659240       31.431240
41.241240       21.621240       31.431240
43.203240       19.659240       31.431240
45.165240       21.621240       31.431240
47.127240       19.659240       31.431240
49.089240       21.621240       31.431240
51.051240       19.659240       31.431240
53.013240       21.621240       31.431240
54.975240       19.659240       31.431240
56.937240       21.621240       31.431240
58.899240       19.659240       31.431240
60.861240       21.621240       31.431240
21.621240       25.545240       31.431240
23.583240       23.583240       31.431240
25.545240       25.545240       31.431240
27.507240       23.583240       31.431240
29.469240       25.545240       31.431240
31.431240       23.583240       31.431240
33.393240       25.545240       31.431240
35.355240       23.583240       31.431240
37.317240       25.545240       31.431240
39.279240       23.583240       31.431240
41.241240       25.545240       31.431240
43.203240       23.583240       31.431240
45.165240       25.545240       31.431240
47.127240       23.583240       31.431240
49.089240       25.545240       31.431240
51.051240       23.583240       31.431240
53.013240       25.545240       31.431240
54.975240       23.583240       31.431240
56.937240       25.545240       31.431240
58.899240       23.583240       31.431240
60.861240       25.545240       31.431240
62.823240       23.583240       31.431240
64.785240       25.545240       31.431240
17.697240       29.469240       31.431240
19.659240       27.507240       31.431240
21.621240       29.469240       31.431240
23.583240       27.507240       31.431240
25.545240       29.469240       31.431240
27.507240       27.507240       31.431240
29.469240       29.469240       31.431240
31.431240       27.507240       31.431240
33.393240       29.469240       31.431240
35.355240       27.507240       31.431240
37.317240       29.469240       31.431240
39.279240       27.507240       31.431240
41.241240       29.469240       31.431240
43.203240       27.507240       31.431240
45.165240       29.469240       31.431240
47.127240       27.507240       31.431240
49.089240       29.469240       31.431240
51.051240       27.507240       31.431240
53.013240       29.469240       31.431240
54.975240       27.507240       31.431240
56.937240       29.469240       31.431240
58.899240       27.507240       31.431240
60.861240       29.469240       31.431240
62.823240       27.507240       31.431240
64.785240       29.469240       31.431240
66.747240       27.507240       31.431240
68.709240       29.469240       31.431240
