        2056	IH
18.301294      24.574835      34.534168
15.933777      25.344088      35.971398
15.933777      27.833444      34.534168
13.566259      28.602697      35.971398
13.566259      31.092052      34.534168
11.198742      31.861305      35.971398
23.036329      23.036329      31.659709
20.668812      23.805582      33.096938
20.668812      26.294937      31.659709
18.301294      27.064191      33.096938
18.301294      29.553546      31.659709
15.933777      30.322799      33.096938
23.036329      25.525684      30.222479
23.036329      28.015040      28.785249
20.668812      28.784293      30.222479
 8.831224      27.651848      34.534168
 6.463707      28.421101      35.971398
13.566259      26.113341      31.659709
11.198742      26.882594      33.096938
18.301294      24.574835      28.785249
15.933777      25.344088      30.222479
23.036329      23.036329      25.910789
20.668812      23.805582      27.348019
20.668812      17.288366       4.352341
20.668812      19.777721       5.789571
18.301294      19.008468       7.226800
18.301294      16.519113       5.789571
15.933777      15.749860       7.226800
15.933777      18.239215       8.664030
13.566259      17.469962      10.101260
13.566259      14.980607       8.664030
11.198742      14.211354      10.101260
11.198742      16.700709      11.538490
20.668812      12.309655       7.226800
20.668812      17.288366      10.101260
20.668812      14.799011       8.664030
18.301294      14.029758      10.101260
18.301294      11.540402       8.664030
15.933777      10.771149      10.101260
20.668812      19.777721      11.538490
18.301294      19.008468      12.975720
18.301294      16.519113      11.538490
15.933777      15.749860      12.975720
15.933777      13.260504      11.538490
15.933777      18.239215      14.412950
20.668812       7.330945      10.101260
20.668812      12.309655      12.975720
20.668812       9.820300      11.538490
20.668812      17.288366      15.850180
20.668812      14.799011      14.412950
20.668812      19.777721      17.287410
20.668812      19.777721       2.915111
18.301294      19.008468       4.352341
15.933777      18.239215       5.789571
13.566259      17.469962       7.226800
11.198742      16.700709       8.664030
 8.831224      15.931456      10.101260
20.668812      14.799011       5.789571
20.668812      19.777721       8.664030
20.668812      17.288366       7.226800
18.301294      16.519113       8.664030
18.301294      14.029758       7.226800
15.933777      13.260504       8.664030
18.301294      19.008468      10.101260
15.933777      18.239215      11.538490
15.933777      15.749860      10.101260
13.566259      14.980607      11.538490
13.566259      12.491251      10.101260
13.566259      17.469962      12.975720
20.668812       9.820300       8.664030
20.668812      14.799011      11.538490
20.668812      12.309655      10.101260
18.301294      11.540402      11.538490
18.301294       9.051047      10.101260
20.668812      19.777721      14.412950
20.668812      17.288366      12.975720
18.301294      16.519113      14.412950
18.301294      14.029758      12.975720
18.301294      19.008468      15.850180
20.668812      22.267076       4.352341
18.301294      21.497823       2.915111
16.838088      23.511754       4.352341
19.205605      24.281007       5.789571
17.742399      26.294937       7.226800
15.374882      25.525684       5.789571
13.911675      27.539615       7.226800
16.279193      28.308868       8.664030
14.815987      30.322799      10.101260
12.448469      29.553546       8.664030
10.985263      31.567476      10.101260
13.352780      32.336729      11.538490
15.933777      20.728570       7.226800
13.566259      19.959317       5.789571
12.103053      21.973248       7.226800
20.668812      22.267076      10.101260
18.301294      21.497823       8.664030
16.838088      23.511754      10.101260
14.470571      22.742501       8.664030
13.007364      24.756431      10.101260
10.639847      23.987178       8.664030
 9.176641      26.001109      10.101260
19.205605      24.281007      11.538490
17.742399      26.294937      12.975720
15.374882      25.525684      11.538490
13.911675      27.539615      12.975720
11.544158      26.770362      11.538490
16.279193      28.308868      14.412950
11.198742      19.190064      10.101260
 8.831224      18.420811       8.664030
 7.368018      20.434742      10.101260
15.933777      20.728570      12.975720
13.566259      19.959317      11.538490
12.103053      21.973248      12.975720
 9.735536      21.203995      11.538490
20.668812      22.267076      15.850180
18.301294      21.497823      14.412950
16.838088      23.511754      15.850180
14.470571      22.742501      14.412950
19.205605      24.281007      17.287410
20.668812      22.267076       1.477881
19.205605      24.281007       2.915111
17.742399      26.294937       4.352341
16.279193      28.308868       5.789571
14.815987      30.322799       7.226800
13.352780      32.336729       8.664030
11.889574      34.350660      10.101260
18.301294      21.497823       5.789571
15.933777      20.728570       4.352341
14.470571      22.742501       5.789571
20.668812      22.267076       7.226800
19.205605      24.281007       8.664030
16.838088      23.511754       7.226800
15.374882      25.525684       8.664030
13.007364      24.756431       7.226800
11.544158      26.770362       8.664030
17.742399      26.294937      10.101260
16.279193      28.308868      11.538490
13.911675      27.539615      10.101260
12.448469      29.553546      11.538490
10.080952      28.784293      10.101260
14.815987      30.322799      12.975720
13.566259      19.959317       8.664030
11.198742      19.190064       7.226800
 9.735536      21.203995       8.664030
18.301294      21.497823      11.538490
15.933777      20.728570      10.101260
14.470571      22.742501      11.538490
12.103053      21.973248      10.101260
10.639847      23.987178      11.538490
 8.272329      23.217925      10.101260
20.668812      22.267076      12.975720
19.205605      24.281007      14.412950
16.838088      23.511754      12.975720
15.374882      25.525684      14.412950
13.007364      24.756431      12.975720
17.742399      26.294937      15.850180
 8.831224      18.420811      11.538490
 6.463707      17.651558      10.101260
13.566259      19.959317      14.412950
11.198742      19.190064      12.975720
18.301294      21.497823      17.287410
15.933777      20.728570      15.850180
20.668812      22.267076      18.724640
21.573123      25.050260       4.352341
20.109917      27.064191       2.915111
21.573123      29.078121       4.352341
23.036329      27.064191       5.789571
24.499535      29.078121       7.226800
23.036329      31.092052       5.789571
24.499535      33.105982       7.226800
25.962742      31.092052       8.664030
27.425948      33.105982      10.101260
25.962742      35.119913       8.664030
27.425948      37.133844      10.101260
28.889154      35.119913      11.538490
18.646710      29.078121       7.226800
17.183504      31.092052       5.789571
18.646710      33.105982       7.226800
21.573123      25.050260      10.101260
20.109917      27.064191       8.664030
21.573123      29.078121      10.101260
20.109917      31.092052       8.664030
21.573123      33.105982      10.101260
20.109917      35.119913       8.664030
21.573123      37.133844      10.101260
23.036329      27.064191      11.538490
24.499535      29.078121      12.975720
23.036329      31.092052      11.538490
24.499535      33.105982      12.975720
23.036329      35.119913      11.538490
25.962742      31.092052      14.412950
15.720298      33.105982      10.101260
14.257092      35.119913       8.664030
15.720298      37.133844      10.101260
18.646710      29.078121      12.975720
17.183504      31.092052      11.538490
18.646710      33.105982      12.975720
17.183504      35.119913      11.538490
21.573123      25.050260      15.850180
20.109917      27.064191      14.412950
21.573123      29.078121      15.850180
20.109917      31.092052      14.412950
23.036329      27.064191      17.287410
21.573123      25.050260       1.477881
23.036329      27.064191       2.915111
24.499535      29.078121       4.352341
25.962742      31.092052       5.789571
27.425948      33.105982       7.226800
28.889154      35.119913       8.664030
30.352361      37.133844      10.101260
20.109917      27.064191       5.789571
18.646710      29.078121       4.352341
20.109917      31.092052       5.789571
21.573123      25.050260       7.226800
23.036329      27.064191       8.664030
21.573123      29.078121       7.226800
23.036329      31.092052       8.664030
21.573123      33.105982       7.226800
23.036329      35.119913       8.664030
24.499535      29.078121      10.101260
25.962742      31.092052      11.538490
24.499535      33.105982      10.101260
25.962742      35.119913      11.538490
24.499535      37.133844      10.101260
27.425948      33.105982      12.975720
17.183504      31.092052       8.664030
15.720298      33.105982       7.226800
17.183504      35.119913       8.664030
20.109917      27.064191      11.538490
18.646710      29.078121      10.101260
20.109917      31.092052      11.538490
18.646710      33.105982      10.101260
20.109917      35.119913      11.538490
18.646710      37.133844      10.101260
21.573123      25.050260      12.975720
23.036329      27.064191      14.412950
21.573123      29.078121      12.975720
23.036329      31.092052      14.412950
21.573123      33.105982      12.975720
24.499535      29.078121      15.850180
14.257092      35.119913      11.538490
12.793885      37.133844      10.101260
17.183504      31.092052      14.412950
15.720298      33.105982      12.975720
20.109917      27.064191      17.287410
18.646710      29.078121      15.850180
21.573123      25.050260      18.724640
24.499535      25.050260       4.352341
25.962742      27.064191       2.915111
28.330259      26.294937       4.352341
26.867053      24.281007       5.789571
29.234570      23.511754       7.226800
30.697777      25.525684       5.789571
33.065294      24.756431       7.226800
31.602088      22.742501       8.664030
33.969605      21.973248      10.101260
35.432812      23.987178       8.664030
37.800329      23.217925      10.101260
36.337123      21.203995      11.538490
27.425948      29.078121       7.226800
28.889154      31.092052       5.789571
31.256672      30.322799       7.226800
24.499535      25.050260      10.101260
25.962742      27.064191       8.664030
28.330259      26.294937      10.101260
29.793465      28.308868       8.664030
32.160983      27.539615      10.101260
33.624189      29.553546       8.664030
35.991707      28.784293      10.101260
26.867053      24.281007      11.538490
29.234570      23.511754      12.975720
30.697777      25.525684      11.538490
33.065294      24.756431      12.975720
34.528500      26.770362      11.538490
31.602088      22.742501      14.412950
30.352361      33.105982      10.101260
31.815567      35.119913       8.664030
34.183084      34.350660      10.101260
27.425948      29.078121      12.975720
28.889154      31.092052      11.538490
31.256672      30.322799      12.975720
32.719878      32.336729      11.538490
24.499535      25.050260      15.850180
25.962742      27.064191      14.412950
28.330259      26.294937      15.850180
29.793465      28.308868      14.412950
26.867053      24.281007      17.287410
24.499535      25.050260       1.477881
26.867053      24.281007       2.915111
29.234570      23.511754       4.352341
31.602088      22.742501       5.789571
33.969605      21.973248       7.226800
36.337123      21.203995       8.664030
38.704640      20.434742      10.101260
25.962742      27.064191       5.789571
27.425948      29.078121       4.352341
29.793465      28.308868       5.789571
24.499535      25.050260       7.226800
26.867053      24.281007       8.664030
28.330259      26.294937       7.226800
30.697777      25.525684       8.664030
32.160983      27.539615       7.226800
34.528500      26.770362       8.664030
29.234570      23.511754      10.101260
31.602088      22.742501      11.538490
33.065294      24.756431      10.101260
35.432812      23.987178      11.538490
36.896018      26.001109      10.101260
33.969605      21.973248      12.975720
28.889154      31.092052       8.664030
30.352361      33.105982       7.226800
32.719878      32.336729       8.664030
25.962742      27.064191      11.538490
27.425948      29.078121      10.101260
29.793465      28.308868      11.538490
31.256672      30.322799      10.101260
33.624189      29.553546      11.538490
35.087395      31.567476      10.101260
24.499535      25.050260      12.975720
26.867053      24.281007      14.412950
28.330259      26.294937      12.975720
30.697777      25.525684      14.412950
32.160983      27.539615      12.975720
29.234570      23.511754      15.850180
31.815567      35.119913      11.538490
33.278773      37.133844      10.101260
28.889154      31.092052      14.412950
30.352361      33.105982      12.975720
25.962742      27.064191      17.287410
27.425948      29.078121      15.850180
24.499535      25.050260      18.724640
23.036329      23.036329       0.040651
23.036329      20.546974       1.477881
23.036329      18.057619       2.915111
23.036329      15.568264       4.352341
23.036329      13.078908       5.789571
23.036329      10.589553       7.226800
23.036329       8.100198       8.664030
23.036329       5.610843      10.101260
25.403847      22.267076       4.352341
27.771364      21.497823       2.915111
27.771364      19.008468       4.352341
23.036329      23.036329       5.789571
23.036329      20.546974       7.226800
25.403847      19.777721       5.789571
25.403847      17.288366       7.226800
27.771364      16.519113       5.789571
27.771364      14.029758       7.226800
23.036329      18.057619       8.664030
23.036329      15.568264      10.101260
25.403847      14.799011       8.664030
25.403847      12.309655      10.101260
27.771364      11.540402       8.664030
27.771364       9.051047      10.101260
23.036329      13.078908      11.538490
23.036329      10.589553      12.975720
25.403847       9.820300      11.538490
30.138882      20.728570       7.226800
32.506399      19.959317       5.789571
32.506399      17.469962       7.226800
25.403847      22.267076      10.101260
27.771364      21.497823       8.664030
27.771364      19.008468      10.101260
30.138882      18.239215       8.664030
30.138882      15.749860      10.101260
32.506399      14.980607       8.664030
32.506399      12.491251      10.101260
23.036329      23.036329      11.538490
23.036329      20.546974      12.975720
25.403847      19.777721      11.538490
25.403847      17.288366      12.975720
27.771364      16.519113      11.538490
27.771364      14.029758      12.975720
30.138882      13.260504      11.538490
23.036329      18.057619      14.412950
23.036329      15.568264      15.850180
25.403847      14.799011      14.412950
34.873917      19.190064      10.101260
37.241434      18.420811       8.664030
37.241434      15.931456      10.101260
30.138882      20.728570      12.975720
32.506399      19.959317      11.538490
32.506399      17.469962      12.975720
34.873917      16.700709      11.538490
25.403847      22.267076      15.850180
27.771364      21.497823      14.412950
27.771364      19.008468      15.850180
30.138882      18.239215      14.412950
23.036329      23.036329      17.287410
23.036329      20.546974      18.724640
25.403847      19.777721      17.287410
23.036329      23.036329       2.915111
25.403847      22.267076       1.477881
25.403847      19.777721       2.915111
23.036329      20.546974       4.352341
23.036329      18.057619       5.789571
25.403847      17.288366       4.352341
25.403847      14.799011       5.789571
23.036329      15.568264       7.226800
23.036329      13.078908       8.664030
25.403847      12.309655       7.226800
25.403847       9.820300       8.664030
23.036329      10.589553      10.101260
23.036329       8.100198      11.538490
25.403847       7.330945      10.101260
27.771364      21.497823       5.789571
30.138882      20.728570       4.352341
30.138882      18.239215       5.789571
23.036329      23.036329       8.664030
25.403847      22.267076       7.226800
25.403847      19.777721       8.664030
27.771364      19.008468       7.226800
27.771364      16.519113       8.664030
30.138882      15.749860       7.226800
30.138882      13.260504       8.664030
23.036329      20.546974      10.101260
23.036329      18.057619      11.538490
25.403847      17.288366      10.101260
25.403847      14.799011      11.538490
27.771364      14.029758      10.101260
27.771364      11.540402      11.538490
30.138882      10.771149      10.101260
23.036329      15.568264      12.975720
23.036329      13.078908      14.412950
