        6524	IH
54.937514      38.674262      56.092617
46.371756      38.380434      53.218157
48.739273      39.149687      54.655387
50.202479      37.135756      53.218157
52.569997      37.905009      54.655387
54.033203      35.891078      53.218157
56.400721      36.660331      54.655387
57.863927      34.646401      53.218157
41.636721      36.841927      50.343697
44.004238      37.611181      51.780927
45.467444      35.597250      50.343697
47.834962      36.366503      51.780927
49.298168      34.352572      50.343697
51.665686      35.121825      51.780927
53.128892      33.107895      50.343697
55.496409      33.877148      51.780927
36.901686      35.303421      47.469237
39.269203      36.072674      48.906467
40.732410      34.058744      47.469237
43.099927      34.827997      48.906467
44.563133      32.814066      47.469237
46.930651      33.583319      48.906467
48.393857      31.569389      47.469237
50.761374      32.338642      48.906467
38.364892      33.289491      46.032007
39.828098      31.275560      44.594778
42.195616      32.044813      46.032007
43.658822      30.030882      44.594778
46.026340      30.800136      46.032007
41.291305      29.261629      43.157548
55.841826      41.457446      53.218157
58.209343      42.226699      54.655387
59.672549      40.212768      53.218157
51.106791      39.918940      50.343697
53.474308      40.688193      51.780927
54.937514      38.674262      50.343697
57.305032      39.443515      51.780927
46.371756      38.380434      47.469237
48.739273      39.149687      48.906467
50.202479      37.135756      47.469237
52.569997      37.905009      48.906467
41.636721      36.841927      44.594778
44.004238      37.611181      46.032007
45.467444      35.597250      44.594778
47.834962      36.366503      46.032007
36.901686      35.303421      41.720318
39.269203      36.072674      43.157548
40.732410      34.058744      41.720318
43.099927      34.827997      43.157548
38.364892      33.289491      40.283088
36.901686      35.303421      67.590456
38.364892      33.289491      66.153226
39.828098      31.275560      64.715996
41.291305      29.261629      63.278766
42.754511      27.247699      61.841536
44.217717      25.233768      60.404306
45.680923      23.219837      58.967076
47.144130      21.205907      57.529847
48.607336      19.191976      56.092617
50.070542      17.178045      54.655387
51.533748      15.164115      53.218157
39.269203      36.072674      63.278766
41.636721      36.841927      64.715996
43.099927      34.827997      63.278766
36.901686      35.303421      61.841536
38.364892      33.289491      60.404306
40.732410      34.058744      61.841536
42.195616      32.044813      60.404306
44.563133      32.814066      61.841536
46.026340      30.800136      60.404306
39.828098      31.275560      58.967076
41.291305      29.261629      57.529847
43.658822      30.030882      58.967076
45.122028      28.016952      57.529847
47.489546      28.786205      58.967076
48.952752      26.772274      57.529847
42.754511      27.247699      56.092617
44.217717      25.233768      54.655387
46.585235      26.003021      56.092617
48.048441      23.989091      54.655387
50.415958      24.758344      56.092617
51.879165      22.744413      54.655387
45.680923      23.219837      53.218157
47.144130      21.205907      51.780927
49.511647      21.975160      53.218157
50.974853      19.961229      51.780927
53.342371      20.730482      53.218157
48.607336      19.191976      50.343697
